roi	subject_id	num_bins	prf_ecc_bins	prf_pcm_bins_median	prf_r2_bins_median	prf_pcm_bins_ci_upper_bound	prf_pcm_bins_ci_lower_bound
V3	182436	3	0.348601996898651	18.82004984598539	0.1851725578308105	34.34560879313483	4.755897109841943
V3	182436	4	0.555761456489563	16.094122862343685	0.2429545879364013	22.01068862686984	8.077535329209221
V3	182436	5	0.9070923924446106	8.788182622619722	0.4195432662963867	14.587136805735614	3.867670358645913
V3	182436	6	1.4507151842117312	7.578194201506379	0.5149505615234375	21.00815785900923	1.8412304798827608
V3	182436	7	2.3435323238372803	4.382868178700178	0.5401223754882812	8.62651364410623	1.783539225966923
V3	182436	8	3.854490995407105	2.819543733807167	0.5301202392578125	6.723584757147825	1.3560677878628713
V3	182436	9	6.441529273986816	1.9321729033010355	0.4608736801147461	3.725508651074685	0.9312556904442288
V1	197348	0	NaN	NaN	NaN	NaN	NaN
V1	197348	1	0.1359820961952209	22.97711714979086	0.0778828859329223	36.56387647238338	13.123869586050214
V1	197348	2	0.2266104072332382	16.39420458586005	0.2330737686157226	27.36071049778521	9.412912316679195
V1	197348	3	0.3466365337371826	14.755377968074914	0.2784965705871582	23.42857173263952	10.606247531959276
V1	197348	4	0.5693486332893372	13.360686800469573	0.3934365081787109	17.322797223878645	6.414615439412934
V1	197348	5	0.8856032490730286	10.11725563947101	0.4752703475952148	15.12699259507226	4.190426844777249
V1	197348	6	1.5391438007354736	6.452257755948099	0.490241584777832	14.569602678867206	3.7234834649722073
V1	197348	7	2.333868265151977	5.102571219715448	0.5289746475219727	12.089788468317348	2.834112127214014
V1	197348	8	3.886963129043579	3.3097280530518107	0.5191965103149414	5.419384616332853	2.2004180550758536
V1	197348	9	5.805551052093505	2.5816448717574865	0.4875739669799804	4.156823161161864	1.655541729308668
V2	197348	0	NaN	NaN	NaN	NaN	NaN
V2	197348	1	0.1530555784702301	31.009182354562054	0.1978644180297851	43.50534244486539	5.622374901928678
V2	197348	2	0.2329460680484772	35.34519694453261	0.2323055267333984	44.71856532120427	10.493206980783514
V2	197348	3	0.307363212108612	29.37388278443468	0.3456890487670898	45.692372917064986	9.616010312181704
V2	197348	4	0.5775517821311951	14.101132254601948	0.4027175140380859	31.27341109036593	7.393871643562195
V2	197348	5	0.889443039894104	9.294767429038512	0.462672004699707	18.34810266442509	3.4347696154173
V2	197348	6	1.519188642501831	8.386557489318738	0.5261249923706055	12.608925255660935	3.129917429004032
V2	197348	7	2.383537769317627	5.091249870335639	0.5327407073974609	8.129815422749235	2.1782135839079184
V2	197348	8	4.004848480224609	2.99691133847427	0.5188838195800781	6.324649341998593	1.1097503908370387
V2	197348	9	6.58038854598999	1.9705971862328664	0.4502661895751953	3.1367579827366034	1.010464932981694
V3	197348	0	NaN	NaN	NaN	NaN	NaN
V3	197348	1	0.1459566205739975	26.221257283118003	0.1683266067504882	37.13865425154069	16.99407449113995
V3	197348	2	0.2358481138944625	31.629476792658423	0.1723266792297363	45.70742582972744	11.099196849364589
V3	197348	3	0.3388065993785858	27.695716056033447	0.3425490188598633	45.37078391071034	13.869417099885768
V3	197348	4	0.5331063270568848	15.28427081698034	0.3499019622802734	42.78623889268703	9.758289102554082
V3	197348	5	0.9520000219345092	9.635440094043284	0.448498420715332	18.44967441608908	5.166182133819188
V3	197348	6	1.5153764486312866	8.027160737343737	0.4840341949462891	19.65476900628281	3.942229537141462
V3	197348	7	2.243154525756836	4.624540976405955	0.4773486328125	7.524171027766693	1.7660550681843803
V3	197348	8	3.923744440078736	2.8145376379917524	0.4663511657714844	5.406042954825738	1.5586424485477717
V3	197348	9	5.720879077911377	2.295933045936798	0.5071884536743164	3.8758627990693633	1.257453763650649
V1	214524	0	NaN	NaN	NaN	NaN	NaN
V1	214524	1	0.1210628300905227	11.608629602249655	0.1048946380615234	20.0556619221809	10.913193307717489
V1	214524	2	0.2312985360622406	16.086310828400833	0.1568589782714843	18.762215467605625	11.678574206258372
V1	214524	3	0.3437364101409912	13.010058046831585	0.2402035522460937	17.962562916702932	10.154771590934024
V1	214524	4	0.556179404258728	10.19241713047421	0.2962073135375976	18.34953561347905	7.937932012627678
V1	214524	5	0.8868449926376343	7.910627715308613	0.2951237487792968	13.900307774482265	4.965630294052134
V1	214524	6	1.505723237991333	6.081354727244168	0.3546436309814453	11.747441714954489	3.795757039699425
V1	214524	7	2.340529680252075	3.9195814339733337	0.4193440628051758	8.547231075612434	2.4846562418117326
V1	214524	8	4.000123500823975	2.950395482824723	0.3888093185424804	4.739254481780832	2.090930114558242
V1	214524	9	5.670823574066162	2.251743898511566	0.3694228935241699	4.281225349922749	1.4143056710190591
V2	214524	0	NaN	NaN	NaN	NaN	NaN
V2	214524	1	0.1338103413581848	17.463874661137915	0.1048946380615234	27.23462334908993	11.72651946751556
V2	214524	2	0.2240000069141388	27.78843774042325	0.1452135467529297	42.317447611703535	6.564797714248606
V2	214524	3	0.3496136367321014	19.133586843282803	0.2502363967895508	30.96020779764707	7.338842258864209
V2	214524	4	0.5617644786834717	13.133069551536224	0.3358064270019531	21.44327550182268	6.498218398604635
