prf_dist	geo_dist	prf_ecc	prf_r2	hemi	roi	subject	pRF_CM
2.21129125948372	137.72541376948357	0.63428104	0.48933175	lh	V1	111312	62.28280113658069
2.21129125948372	137.7890084683895	0.63428104	0.48933175	lh	V1	111312	62.311560215075296
2.21129125948372	137.6827756166458	0.63428104	0.48933175	lh	V1	111312	62.26351912085576
2.21129125948372	137.65790045261383	0.63428104	0.48933175	lh	V1	111312	62.25226996318587
2.306392289667473	137.7620171904564	0.34748822	0.39241242	lh	V1	111312	59.73052277690297
2.3635833938371547	137.75916427373886	0.4571678	0.40185	lh	V1	111312	58.28402950914883
2.306392289667473	137.89835542440414	0.34748822	0.39241242	lh	V1	111312	59.78963597917934
2.306392289667473	137.88709220290184	0.34748822	0.39241242	lh	V1	111312	59.784752498796244
2.306392289667473	138.02730894088745	0.34748822	0.39241242	lh	V1	111312	59.845547333488405
2.306392289667473	138.09279608726501	0.34748822	0.39241242	lh	V1	111312	59.873941092291254
2.306392289667473	138.15997943282127	0.34748822	0.39241242	lh	V1	111312	59.9030702850384
2.306392289667473	138.08832415938377	0.34748822	0.39241242	lh	V1	111312	59.87200216459831
2.360877503430332	138.09879231452942	0.30552828	0.51690805	lh	V1	111312	58.494687722625685
3.240448248227516	136.15976470708847	2.8139915	0.66370565	lh	V1	111312	42.018805509875406
3.240448248227516	136.19124141335487	2.8139915	0.66370565	lh	V1	111312	42.02851919880212
3.240448248227516	136.075258821249	2.8139915	0.66370565	lh	V1	111312	41.99272705425258
3.240448248227516	136.10316732525826	2.8139915	0.66370565	lh	V1	111312	42.00133959852775
3.240448248227516	136.14186576008797	2.8139915	0.66370565	lh	V1	111312	42.01328190769775
3.240448248227516	136.09888504445553	2.8139915	0.66370565	lh	V1	111312	42.000018089750355
3.240448248227516	136.0566595196724	2.8139915	0.66370565	lh	V1	111312	41.986987323156185
3.240448248227516	136.08303689956665	2.8139915	0.66370565	lh	V1	111312	41.99512736363012
3.240448248227516	136.18816104531288	2.8139915	0.66370565	lh	V1	111312	42.027568599438695
3.2648689355621077	135.80998739600182	3.1264899	0.6691576	lh	V1	111312	41.597378049915385
3.240448248227516	135.87576720118523	2.8139915	0.66370565	lh	V1	111312	41.93116408370587
3.240448248227516	136.0260197520256	2.8139915	0.66370565	lh	V1	111312	41.97753191288585
2.6815563533678546	136.1903010904789	1.8471014	0.71480966	lh	V1	111312	50.787782594773006
3.2648689355621077	136.01049089431763	3.1264899	0.6691576	lh	V1	111312	41.658790468690256
3.2648689355621077	136.0509626865387	3.1264899	0.6691576	lh	V1	111312	41.671186614759165
2.5446676812953113	136.06449906527996	1.9859467	0.690843	lh	V1	111312	53.4704394076397
2.5446676812953113	136.21280273795128	1.9859467	0.690843	lh	V1	111312	53.52871958063103
2.568451816637992	136.02424377202988	2.2926757	0.7198396	lh	V1	111312	52.959624506439276
2.568451816637992	135.920381128788	2.2926757	0.7198396	lh	V1	111312	52.91918666658218
2.568451816637992	136.01399971544743	2.2926757	0.7198396	lh	V1	111312	52.95563608955869
2.568451816637992	136.34570479393005	2.2926757	0.7198396	lh	V1	111312	53.08478201175738
2.568451816637992	135.94771218299866	2.2926757	0.7198396	lh	V1	111312	52.92982772826518
2.104869106381049	136.9885924756527	1.1458617	0.59397304	lh	V1	111312	65.08176307037942
2.104869106381049	137.04559767246246	1.1458617	0.59397304	lh	V1	111312	65.10884560802366
2.118650999078287	137.0642043352127	1.7491406	0.58069265	lh	V1	111312	64.69409279529384
2.104869106381049	136.973505333066	1.1458617	0.59397304	lh	V1	111312	65.07459533603387
2.104869106381049	137.02467823028564	1.1458617	0.59397304	lh	V1	111312	65.09890701273838
2.088092816940024	137.1510453671217	0.9193639	0.6001495	lh	V1	111312	65.68244680239282
2.088092816940024	137.32796388864517	0.9193639	0.6001495	lh	V1	111312	65.76717412873013
2.166892071735049	137.5098047554493	0.9144018	0.5574848	lh	V1	111312	63.45946184820549
2.21129125948372	137.59108144044876	0.63428104	0.48933175	lh	V1	111312	62.22205277136254
2.21129125948372	137.64644607901573	0.63428104	0.48933175	lh	V1	111312	62.24709001524867
2.355272102463602	137.6526154577732	0.87624156	0.42349303	lh	V1	111312	58.44446393849327
2.104869106381049	136.97836351394653	1.1458617	0.59397304	lh	V1	111312	65.07690340396351
2.104869106381049	137.02172297239304	1.1458617	0.59397304	lh	V1	111312	65.09750300244451
2.104869106381049	137.10709577798843	1.1458617	0.59397304	lh	V1	111312	65.13806267683783
2.088092816940024	137.12869626283646	0.9193639	0.6001495	lh	V1	111312	65.67174368416745
2.174139046041602	137.3320090174675	0.50574994	0.59825075	lh	V1	111312	63.16615731983853
2.174139046041602	137.5127490758896	0.50574994	0.59825075	lh	V1	111312	63.249289104234364
2.21129125948372	137.73186123371124	0.63428104	0.48933175	lh	V1	111312	62.285716837621884
2.104869106381049	137.13625937700272	1.1458617	0.59397304	lh	V1	111312	65.15191797972858
2.085054954256666	137.1959283053875	0.59758884	0.6693332	lh	V1	111312	65.79967018389624
2.085054954256666	137.2117615044117	0.59758884	0.6693332	lh	V1	111312	65.80726384419373
2.174139046041602	137.4061290025711	0.50574994	0.59825075	lh	V1	111312	63.20024896877817
2.174139046041602	137.71403017640114	0.50574994	0.59825075	lh	V1	111312	63.34186878577682
2.306392289667473	137.96992886066437	0.34748822	0.39241242	lh	V1	111312	59.82066861685371
2.306392289667473	137.9292613863945	0.34748822	0.39241242	lh	V1	111312	59.80303611155439
2.306392289667473	138.03901118040085	0.34748822	0.39241242	lh	V1	111312	59.85062116224071
