prf_dist	geo_dist	prf_ecc	prf_r2	hemi	roi	subject	pRF_CM
0.3015140654587049	3.3195837140083313	0.7602149	0.59592366	rh	V1	111312	11.009714286323995
0.37651662877534314	3.349860370159149	0.9880843	0.47292507	rh	V1	111312	8.896978550601855
0.37651662877534314	3.2396214306354523	0.9880843	0.47292507	rh	V1	111312	8.604192173856
0.37651662877534314	3.212298661470413	0.9880843	0.47292507	rh	V1	111312	8.531624942884266
0.38859471347641733	3.2206168323755264	0.9880843	0.47292507	rh	V1	111312	8.287855497475716
0.38859471347641733	3.2768424451351166	0.9880843	0.47292507	rh	V1	111312	8.432545095171447
0.3841398276392424	3.246939241886139	0.92434365	0.55683917	rh	V1	111312	8.452493098256502
0.37879252312586975	3.3228086978197098	0.92434365	0.55683917	rh	V1	111312	8.77210740697637
0.3749180835352748	3.3225311040878296	0.92434365	0.55683917	rh	V1	111312	8.862018798234958
0.38266696271646466	3.287068709731102	0.92434365	0.55683917	rh	V1	111312	8.589894163836245
0.38266696271646466	3.234892725944519	0.92434365	0.55683917	rh	V1	111312	8.453545879635808
0.38266696271646466	3.3364375233650208	0.92434365	0.55683917	rh	V1	111312	8.718906643208546
0.3749180835352748	3.605965033173561	0.78808075	0.6634786	rh	V1	111312	9.618007750309777
0.3889247049432547	3.5259428694844246	0.78808075	0.6634786	rh	V1	111312	9.06587528297764
0.6086845154336749	3.58391173183918	1.2211055	0.6249232	rh	V1	111312	5.887962714618621
0.22911126599956966	3.5852131098508835	0.7602149	0.59592366	rh	V1	111312	15.648349260387823
0.3015140654587049	3.6028429567813873	0.7602149	0.59592366	rh	V1	111312	11.94917043521749
0.6086845154336749	3.5654013752937317	1.2211055	0.6249232	rh	V1	111312	5.857552286759683
0.6086845154336749	3.440654695034027	1.2211055	0.6249232	rh	V1	111312	5.652607562363622
0.568856748212939	3.4757786989212036	1.2211055	0.6249232	rh	V1	111312	6.110112448943161
0.265850435263178	3.550858587026596	0.6125925	0.6424776	rh	V1	111312	13.356602495352067
0.22911126599956966	3.395402193069458	0.7602149	0.59592366	rh	V1	111312	14.81988316137992
0.22911126599956966	3.3971965312957764	0.7602149	0.59592366	rh	V1	111312	14.82771489422156
0.568856748212939	3.4713279753923416	1.2211055	0.6249232	rh	V1	111312	6.102288469456508
0.4795669573935034	3.4249361604452133	1.2211055	0.6249232	rh	V1	111312	7.141726734177224
0.4795669573935034	3.6047102212905884	1.2211055	0.6249232	rh	V1	111312	7.516594222593161
0.2797182226573114	3.5091767758131027	0.6125925	0.6424776	rh	V1	111312	12.5453992323992
0.22911126599956966	3.259128227829933	0.7602149	0.59592366	rh	V1	111312	14.22508934080987
0.22911126599956966	3.2632218301296234	0.7602149	0.59592366	rh	V1	111312	14.242956652056353
0.3015140654587049	3.4686226546764374	0.7602149	0.59592366	rh	V1	111312	11.50401607102305
0.37651662877534314	3.565559782087803	0.9880843	0.47292507	rh	V1	111312	9.46986005288832
0.38859471347641733	3.519794777035713	0.9880843	0.47292507	rh	V1	111312	9.057752601797345
0.27901153268949325	3.4799638390541077	0.6111819	0.60454917	rh	V1	111312	12.472473110733006
0.27901153268949325	3.388353005051613	0.6111819	0.60454917	rh	V1	111312	12.144132439222316
0.3015140654587049	3.227046698331833	0.7602149	0.59592366	rh	V1	111312	10.702806495685046
0.37651662877534314	3.3886236548423767	0.9880843	0.47292507	rh	V1	111312	8.999930934960839
0.38255567112588024	3.587619975209236	0.9880843	0.47292507	rh	V1	111312	9.378033698077703
0.38859471347641733	3.582165002822876	0.9880843	0.47292507	rh	V1	111312	9.218254594295367
0.27901153268949325	3.3713864982128143	0.6111819	0.60454917	rh	V1	111312	12.083323100356456
0.2886854982792697	3.4683979749679565	0.6111819	0.60454917	rh	V1	111312	12.014451697925901
0.2886854982792697	3.4195060282945633	0.6111819	0.60454917	rh	V1	111312	11.845091106677579
0.38859471347641733	3.2940722703933716	0.9880843	0.47292507	rh	V1	111312	8.47688390025738
0.4115250302700605	3.46551376581192	0.9880843	0.47292507	rh	V1	111312	8.421149409885713
0.38859471347641733	3.4952529668807983	0.9880843	0.47292507	rh	V1	111312	8.994597316087562
0.0651881402670466	3.520415723323822	0.2812127	0.14717716	rh	V1	111312	54.00392937890629
0.06558628458326247	3.532674491405487	0.2812127	0.14717716	rh	V1	111312	53.86300678338807
0.06558628458326247	3.2691888213157654	0.2812127	0.14717716	rh	V1	111312	49.84561699276464
0.08087493612681976	3.320112109184265	0.30276003	0.4010669	rh	V1	111312	41.05242326223302
0.2886854982792697	3.501652777194977	0.6111819	0.60454917	rh	V1	111312	12.129645576472754
0.38612310654275445	3.4889708757400513	0.858804	0.5660141	rh	V1	111312	9.035902841918439
0.38612310654275445	3.3821038007736206	0.858804	0.5660141	rh	V1	111312	8.759133404514678
0.5786552358912579	3.36462265253067	0.9880843	0.47292507	rh	V1	111312	5.8145549263861795
0.06824667890934963	3.405327618122101	0.2812127	0.14717716	rh	V1	111312	49.8973381934865
0.06824667890934963	3.3562628477811813	0.2812127	0.14717716	rh	V1	111312	49.1784054758067
0.09301697836814331	3.243188887834549	0.31719708	0.2312845	rh	V1	111312	34.86663343329248
0.09301697836814331	3.251039817929268	0.31719708	0.2312845	rh	V1	111312	34.95103662755285
0.3611232967020665	3.488771677017212	0.858804	0.5660141	rh	V1	111312	9.660887870924357
0.3611232967020665	3.414572298526764	0.858804	0.5660141	rh	V1	111312	9.455419602418646
0.38612310654275445	3.461843639612198	0.858804	0.5660141	rh	V1	111312	8.965647434593187
